chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.151714168,0.027758719,1137.059195,952.0746919,1863.346505,0.074589209,-425.0147631,148.8670406,-59.35586659,3.05302918,-2.884116011,-14.46140851,-11.39236301,-15.92862889,-11.51213663,-14.14349718,-7.96032781,0.101695833,4.806213582,4.571547086,5.749546726,7.065989621,5.597865769,3.552456307,-0.856481841,-3.230157053,folk
0.145767026,0.026636258,1240.093884,953.4379352,1880.58306,0.087044346,-436.1614702,137.3394679,-59.96360831,-2.893434495,-6.102199448,-13.42157547,-10.91687449,-12.72521039,-6.700092982,-6.447697206,2.043863176,7.683946356,9.766846895,3.029783842,-1.37664066,5.475047651,10.31524766,7.308839148,-1.723430479,-6.943874584,folk
0.14391218,0.031392116,1173.103088,938.9439897,1854.428462,0.074318445,-423.2070138,138.2859378,-57.63539403,-4.959769123,-6.435151851,-19.00895969,-8.814401871,-8.800161001,-5.991801621,-2.729644459,2.141603778,0.331055286,2.111671728,3.818123816,6.766755068,11.43186265,8.40382374,4.511518062,1.773660701,-3.105199466,folk
0.141396716,0.028980345,1139.296127,963.8381511,1859.124798,0.068026301,-441.4810515,135.487604,-55.28042675,1.783554946,-2.286490961,-15.17755374,-7.520023528,-11.64914665,-12.47868301,-11.83380133,-6.129296892,-3.114712121,5.185334471,11.00414782,14.8343819,14.64219996,7.927815957,5.618533996,2.69111755,-2.228271438,folk
0.15053863,0.028734406,1150.872671,960.7724691,1945.882124,0.072088892,-422.2819162,146.7199279,-59.04082436,2.743400019,-2.276669514,-15.91743201,-11.06358687,-12.86797962,-9.724008935,-11.20835701,-4.741436633,-2.343694603,0.041491136,0.967175998,4.675992731,10.2385638,9.875449169,8.815606306,5.57535467,0.488394216,folk
0.13943885,0.025395008,1194.782389,960.5980808,1880.707962,0.078336853,-452.4206026,133.0303487,-56.11358307,-3.691993158,-4.277415995,-15.66422172,-9.343126495,-9.912042899,-8.522675464,-7.419110954,-1.136293795,1.708756081,5.657694846,5.582483497,8.275511543,12.6513972,9.6757015,4.607852925,-1.94907798,-4.200881485,folk
0.14100586,0.023582142,1097.029009,973.2607764,1849.407378,0.066081107,-456.6018712,132.7804545,-49.16876067,2.124883898,-0.305439303,-14.00194782,-10.21213993,-13.75194108,-10.5425772,-10.85762499,-6.222221869,-3.029629353,-2.0926849,-0.579536282,4.256279355,8.776280232,10.09391185,11.77304683,11.00196109,6.969605395,folk
0.14947865,0.026851278,1207.90171,975.9132119,1948.230292,0.079632894,-427.325623,147.4744064,-67.0644115,4.748966811,-6.869894316,-13.60158553,-9.965010197,-14.81659032,-10.17753125,-9.378634957,-2.648074911,2.591045389,9.966248154,10.04475401,9.866617482,5.765243092,0.147684395,1.8368774,2.407595084,1.545452674,folk
0.142825972,0.025838254,1337.107207,960.4413288,1903.590113,0.101165984,-447.5208009,126.4678946,-60.79438319,-6.773411345,-7.233814968,-12.40591629,-11.38762808,-6.925568088,4.591772678,4.794691051,13.12618516,14.5816564,5.579263556,-10.13934608,-12.49273821,2.898025747,9.989380232,1.971691841,-8.888567199,-6.017515706,folk
0.139277742,0.027329212,1239.709868,957.8328891,1895.396505,0.085148999,-438.4412718,121.5061898,-50.71697519,-8.428684124,-3.14820122,-15.63530235,-9.892117579,-6.289332766,0.19011469,-0.009330376,1.550374977,2.635209875,1.077528423,-1.763101915,3.018846411,10.51721648,7.639362286,-1.869787885,-8.975601151,-3.016336662,folk
0.139026251,0.024235912,1214.098129,969.0447631,1841.6884,0.081932687,-461.3440043,129.9810623,-57.01018411,-2.625741986,-4.749405466,-11.92172484,-8.465838737,-12.14813248,-8.563032531,-6.908373703,0.622630967,8.539791851,15.00683842,9.886341486,2.259306007,-0.868617835,-1.132701713,0.722700938,-1.160921255,-3.685570599,folk
0.136975469,0.024823425,1187.583725,961.0892197,1840.439374,0.078571364,-464.3291868,126.2151955,-52.2768303,-3.185578829,-2.48963505,-12.44418197,-9.070061459,-11.31399557,-7.960709476,-5.736700706,1.184568966,6.324986906,8.460438816,4.456790151,2.511845901,3.941945127,2.421495012,0.186081236,-2.300062282,-1.321503251,folk
0.146430445,0.028411143,1225.250506,955.5175306,1904.789178,0.083082584,-428.3442967,134.0436394,-56.2137199,-5.78464979,-4.321775903,-15.34093318,-9.088435946,-9.990606457,-4.976728419,-3.742162659,2.071511205,3.577037664,3.144680101,0.746274965,2.822091086,9.005520562,7.649872606,4.588810005,0.535728649,-2.441738109,folk
0.133708349,0.024549609,1342.597064,946.6805613,1850.306677,0.102976363,-460.128936,110.2889889,-49.29749769,-15.32354583,-5.703777773,-12.75518185,-8.116970669,-1.186098552,10.00924806,12.26127738,15.44821748,12.59338549,0.813056166,-10.3794213,-11.81313843,-5.191032951,-1.157465117,1.895500992,4.771856298,1.395891844,folk
0.134714186,0.028764509,1213.786111,951.8513516,1881.532319,0.080630982,-450.4931326,120.2175966,-50.19005478,-9.085330391,-3.799300673,-18.28420199,-9.681293894,-3.441237039,0.314643408,3.877547626,6.104143319,-1.348706006,-6.916213103,-5.278517293,9.761516227,20.9460954,10.54459509,-1.614992673,-3.338243318,0.321892137,folk
0.17056577,0.03311358,1187.615459,972.3691861,2005.585552,0.076152616,-384.9923267,160.4780083,-68.46810165,6.39880963,-8.954843452,-17.49931777,-12.55023094,-14.54007565,-9.910269823,-10.77685727,-1.601261731,-1.061576346,0.51911697,-1.404225142,4.942679486,14.26435991,10.08636593,4.133324973,-1.114038856,0.004411735,folk
0.136715412,0.023018086,1268.151204,974.5690947,1838.066225,0.089545796,-465.4610727,114.9701502,-50.33188805,-8.958906524,-4.39408069,-11.40619646,-7.221444057,-8.549806217,-4.306431183,-2.224458211,3.575456077,9.18661782,12.59058943,7.422384387,0.670501465,-0.414451415,1.81231229,3.442972063,-2.349845776,-8.038913831,folk
0.171954194,0.032040365,1221.173516,973.6982947,1994.544165,0.082106022,-383.2757012,151.3165591,-62.78616148,-0.3593112,-5.235463953,-17.26803679,-11.58099717,-14.46619464,-9.549866556,-10.71767026,-1.225201282,2.666788462,3.431943088,1.510800552,1.542445129,8.67309384,10.54951491,8.374725729,0.002188202,-5.07436373,folk
0.143515584,0.02832273,1164.562557,952.0655833,1870.690776,0.075401501,-429.6760012,142.5864073,-56.29313364,0.001245615,-4.72022651,-17.39097412,-11.26399739,-10.67743081,-3.479016914,-4.204356243,0.995235085,1.318296444,-1.686082468,-4.820601133,-3.263193042,5.01550951,10.62423106,12.77658814,9.103268953,1.278725294,folk
